Brand,Year,Model,UsedOrNew,Transmission,EngineSize,DriveType,FuelType,FuelConsumptionPer100km,Kilometres,ExteriorColour,CylindersinEngine,BodyType,Seats,Price,City,State
Ssangyong,2022,Rexton,DEMO,Automatic,2.2,AWD,Diesel,8.7,5595,White,4,SUV,7,51990,Caringbah,NSW
MG,2022,MG3,USED,Automatic,1.5,Front,Premium,6.7,16,Black,4,Hatchback,5,19990,Brookvale,NSW
BMW,2022,430I,USED,Automatic,2.0,Rear,Premium,6.6,8472,Grey,4,Coupe,4,108988,Sylvania,NSW
Mercedes-Benz,2011,E500,USED,Automatic,5.5,Rear,Premium,11.0,136517,White,8,Coupe,4,32990,Mount Druitt,NSW
Renault,2022,Arkana,USED,Automatic,1.3,Front,Unleaded,6.0,1035,Grey,4,SUV,5,34990,Castle Hill,NSW
Land,2017,Rover,USED,Automatic,2.0,AWD,Diesel,5.1,67662,White,4,SUV,4,62280,Blacktown,NSW
Nissan,2000,Pulsar,USED,Automatic,1.6,Front,Unleaded,8.0,300539,Red,4,Hatchback,5,2995,Wentworthville,NSW
Toyota,2013,86,USED,Automatic,2.0,Rear,Premium,7.1,82012,Black,4,Coupe,4,24888,Mcgraths Hill,NSW
Honda,2014,Jazz,USED,Automatic,1.3,Front,Hybrid,4.5,38229,Blue,4,Hatchback,5,17900,Lidcombe,NSW
Toyota,2018,HiAce,USED,Automatic,2.7,Rear,Unleaded,9.8,16324,White,4,Commercial,2,41999,Lidcombe,NSW
Toyota,2016,HiAce,USED,Automatic,3.0,Rear,Diesel,8.0,229829,White,4,Commercial,2,27995,Lidcombe,NSW
Volkswagen,2012,Golf,USED,Automatic,1.4,Front,Premium,6.2,55676,White,4,Hatchback,5,14999,Five Dock,NSW
BMW,2014,X3,USED,Automatic,2.0,4WD,Diesel,5.6,82624,Black,4,SUV,5,24985,Haberfield,NSW
BMW,2011,118D,USED,Automatic,2.0,Rear,Diesel,5.4,95204,Silver,4,Hatchback,5,13999,Five Dock,NSW
Ford,2014,Fiesta,USED,Automatic,1.0,Front,Unleaded,5.4,76289,White,3,Hatchback,5,12400,Cabramatta,NSW
Mitsubishi,2012,Outlander,USED,Automatic,2.4,AWD,Unleaded,7.5,219681,Black,4,SUV,7,13999,Blacktown,NSW
Ford,2013,Fiesta,USED,Automatic,1.6,Front,Unleaded,6.1,98079,Blue,4,Hatchback,5,11999,Blacktown,NSW
Volkswagen,2023,Amarok,NEW,Automatic,3.0,AWD,Diesel,8.4,15,White,6,Ute / Tray,5,83887,Blacktown,NSW
Honda,2018,Jazz,USED,Automatic,1.5,Front,Unleaded,5.8,43274,Silver,4,Hatchback,5,19900,Castle Hill,NSW
