,Brand,Year,Model,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption/100km,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,Extcolour,City,State
0,Ssangyong,2022-01-01,Rexton,DEMO,Automatic,2.2,AWD,Diesel,8.7,5595.0,4,SUV,4,7,51990.0,White ,Caringbah, NSW
1,MG,2022-01-01,MG3,USED,Automatic,1.5,Front,Premium,6.7,16.0,4,Hatchback,5,5,19990.0,Black ,Brookvale, NSW
2,BMW,2022-01-01,430I,USED,Automatic,2.0,Rear,Premium,6.6,8472.0,4,Coupe,2,4,108988.0,Grey ,Sylvania, NSW
3,Mercedes-Benz,2011-01-01,E500,USED,Automatic,5.5,Rear,Premium,7.3,136517.0,8,Coupe,2,4,32990.0,White ,Mount Druitt, NSW
4,Renault,2022-01-01,Arkana,USED,Automatic,1.3,Front,Unleaded,6.0,1035.0,4,SUV,4,5,34990.0,Grey ,Castle Hill, NSW
6,Land,2017-01-01,Rover,USED,Automatic,2.0,AWD,Diesel,5.1,67662.0,4,SUV,2,4,62280.0,White ,Blacktown, NSW
7,Nissan,2000-01-01,Pulsar,USED,Automatic,1.6,Front,Unleaded,8.0,300539.0,4,Hatchback,5,5,2995.0,Red ,Wentworthville, NSW
8,Toyota,2013-01-01,86,USED,Automatic,2.0,Rear,Premium,7.1,82012.0,4,Coupe,2,4,24888.0,Black ,Mcgraths Hill, NSW
9,Honda,2014-01-01,Jazz,USED,Automatic,1.3,Front,Hybrid,4.5,38229.0,4,Hatchback,5,5,17900.0,Blue ,Lidcombe, NSW
11,Toyota,2018-01-01,HiAce,USED,Automatic,2.7,Rear,Unleaded,9.8,16324.0,4,Commercial,4,2,41999.0,White ,Lidcombe, NSW
14,Toyota,2016-01-01,HiAce,USED,Automatic,3.0,Rear,Diesel,8.0,229829.0,4,Commercial,4,2,27995.0,White ,Lidcombe, NSW
15,Volkswagen,2012-01-01,Golf,USED,Automatic,1.4,Front,Premium,6.2,55676.0,4,Hatchback,5,5,14999.0,White ,Five Dock, NSW
16,BMW,2014-01-01,X3,USED,Automatic,2.0,4WD,Diesel,5.6,82624.0,4,SUV,4,5,24985.0,Black ,Haberfield, NSW
18,BMW,2011-01-01,118D,USED,Automatic,2.0,Rear,Diesel,5.4,95204.0,4,Hatchback,5,5,13999.0,Silver ,Five Dock, NSW
19,Ford,2014-01-01,Fiesta,USED,Automatic,1.0,Front,Unleaded,5.4,76289.0,3,Hatchback,5,5,12400.0,White ,Cabramatta, NSW
20,Mitsubishi,2012-01-01,Outlander,USED,Automatic,2.4,AWD,Unleaded,7.5,219681.0,4,SUV,4,7,13999.0,Black ,Blacktown, NSW
21,Ford,2013-01-01,Fiesta,USED,Automatic,1.6,Front,Unleaded,6.1,98079.0,4,Hatchback,5,5,11999.0,Blue ,Blacktown, NSW
22,Volkswagen,2023-01-01,Amarok,NEW,Automatic,3.0,AWD,Diesel,8.4,15.0,6,Ute / Tray,4,5,83887.0,White ,Blacktown, NSW
23,Honda,2018-01-01,Jazz,USED,Automatic,1.5,Front,Unleaded,5.8,43274.0,4,Hatchback,5,5,19900.0,Silver ,Castle Hill, NSW
24,Subaru,2012-01-01,Outback,USED,Automatic,2.5,AWD,Premium,8.4,105672.0,4,SUV,4,5,17990.0,Black ,Glebe, NSW
25,Mitsubishi,2018-01-01,Mirage,USED,Automatic,1.2,Front,Unleaded,4.7,36836.0,3,Hatchback,5,5,14995.0,Black ,Camden, NSW
26,Toyota,2005-01-01,Camry,USED,Automatic,2.4,Front,Unleaded,9.8,115821.0,4,Sedan,4,5,8499.0,Silver ,Lansvale, NSW
28,Hyundai,2011-01-01,I45,USED,Automatic,2.4,Front,Unleaded,7.9,189711.0,4,Sedan,4,5,12990.0,Silver ,Croydon, NSW
29,Ford,2015-01-01,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,173786.0,6,SUV,4,7,16999.0,Blue ,Blacktown, NSW
30,Nissan,2018-01-01,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,114301.0,4,SUV,4,5,21950.0,Blue ,Pendle Hill, NSW
31,Volkswagen,2013-01-01,Golf,USED,Manual,2.0,Front,Premium,6.6,69197.0,4,Hatchback,5,5,24880.0,Black ,Blacktown, NSW
33,Hyundai,2015-01-01,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,94377.0,4,SUV,4,5,23888.0,Grey ,Mcgraths Hill, NSW
34,Ford,2016-01-01,Focus,USED,Automatic,1.5,Front,Unleaded,6.2,94965.0,4,Hatchback,5,5,16999.0,White ,Blacktown, NSW
35,Nissan,2019-01-01,X-Trail,USED,Automatic,2.5,Front,Unleaded,8.1,99294.0,4,SUV,4,7,24490.0,Grey ,Blacktown, NSW
36,Toyota,2021-01-01,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,13694.0,4,Hatchback,5,5,44878.0,Black ,Blacktown, NSW
37,Toyota,2007-01-01,Yaris,USED,Automatic,1.5,Front,Unleaded,6.7,264691.0,4,Sedan,4,5,7949.0,Silver ,Lansvale, NSW
39,Toyota,2010-01-01,Corolla,USED,Manual,1.8,Front,Unleaded,7.7,238270.0,4,Hatchback,5,5,8800.0,Grey ,Smithfield, NSW
41,Jeep,2015-01-01,Patriot,USED,Automatic,2.4,4WD,Unleaded,9.1,140964.0,4,SUV,4,5,13990.0,Black ,Seven Hills, NSW
42,Toyota,2003-01-01,HiAce,USED,Automatic,2.4,Rear,Unleaded,7.3,266848.0,4,Commercial,4,3,9999.0,White ,Five Dock, NSW
43,Volvo,2013-01-01,S60,USED,Automatic,1.6,Front,Premium,7.4,141000.0,4,Sedan,4,5,14999.0,Blue ,Blacktown, NSW
44,Mitsubishi,2016-01-01,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,240402.0,4,Ute / Tray,4,5,22750.0,White ,Haberfield, NSW
45,Mercedes-Benz,2010-01-01,E250,USED,Automatic,1.8,Rear,Premium,7.9,101126.0,4,Coupe,2,4,21950.0,Black ,Glebe, NSW
46,Mercedes-Benz,2013-01-01,A250,USED,Automatic,2.0,Front,Premium,6.6,117254.0,4,Hatchback,5,5,19999.0,White ,Five Dock, NSW
47,Toyota,2012-01-01,86,USED,Manual,2.0,Rear,Premium,7.8,178747.0,4,Coupe,2,4,19900.0,Silver ,Granville, NSW
48,Mazda,2022-01-01,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.5,10579.0,4,SUV,4,5,37990.0,Black ,Five Dock, NSW
49,Toyota,2010-01-01,Corolla,USED,Automatic,1.8,Front,Unleaded,7.7,167101.0,4,Hatchback,5,5,12990.0,Red ,Minchinbury, NSW
50,Ford,2013-01-01,Falcon,USED,Automatic,4.0,Rear,Unleaded,9.9,163161.0,6,Sedan,4,5,16999.0,Blue ,Blacktown, NSW
51,Abarth,2021-01-01,595,USED,Manual,1.4,Front,Premium,6.0,13200.0,4,Hatchback,3,4,36990.0,Black ,Ryde, NSW
